rank,model,predictions,mean_negative_log_score,mean_absolute_error,root_mean_squared_error,forecast_bias,mean_observed_total,mean_predicted_total,mean_predicted_variance,mean_predicted_dispersion_index
1,com_poisson_rolling_306,1330,3.2855761615611185,5.104596392734964,6.475882943831487,-0.7513952094879467,55.597744360902254,54.84634915141431,39.39085362091652,0.7176763837457671
2,poisson_rolling_306,1330,3.30401574644314,5.10459638422443,6.475882934914512,-0.7513952116816776,55.597744360902254,54.84634914922058,54.84634914922058,1.0
3,com_poisson_expanding,1330,3.3234656767174675,5.2776771582213415,6.712678284323271,-1.5334893412437598,55.597744360902254,54.064255019658496,38.913829667412855,0.7196704385449442
4,poisson_expanding,1330,3.332046683501527,5.27767716657842,6.712678300586285,-1.5334893954448818,55.597744360902254,54.06425496545737,54.06425496545737,1.0
