observation_index,saison,spieltag,spiel,baseline_model,candidate_model,baseline_negative_log_score,candidate_negative_log_score,candidate_score_advantage,cumulative_candidate_score_advantage
238,18/19,27,5,poisson_rolling_306,com_poisson_rolling_306,3.0305956777972725,2.922681414815955,0.10791426298131768,1.485434254043497
239,18/19,27,6,poisson_rolling_306,com_poisson_rolling_306,2.929350177655671,2.769821792446507,0.15952838520916401,1.644962639252661
240,18/19,27,7,poisson_rolling_306,com_poisson_rolling_306,2.9570147649977585,2.7931738925776273,0.16384087242013123,1.8088035116727923
241,18/19,27,8,poisson_rolling_306,com_poisson_rolling_306,3.009819386585839,2.864622239117992,0.1451971474678473,1.9540006591406396
242,18/19,27,9,poisson_rolling_306,com_poisson_rolling_306,3.533334189532674,3.592879431142123,-0.05954524160944885,1.8944554175311907
243,18/19,28,1,poisson_rolling_306,com_poisson_rolling_306,2.921310473717135,2.7376139274160494,0.18369654630108556,2.0781519638322763
244,18/19,28,2,poisson_rolling_306,com_poisson_rolling_306,2.9734656454051773,2.8306374787489403,0.142828166656237,2.2209801304885133
245,18/19,28,3,poisson_rolling_306,com_poisson_rolling_306,2.909284755155845,2.7286834280017445,0.1806013271541005,2.4015814576426138
246,18/19,28,4,poisson_rolling_306,com_poisson_rolling_306,7.402581103425113,9.163851088151375,-1.7612699847262618,0.6403114729163519
247,18/19,28,5,poisson_rolling_306,com_poisson_rolling_306,3.2192966932912483,3.201185657939959,0.018111035351289217,0.6584225082676411
248,18/19,28,6,poisson_rolling_306,com_poisson_rolling_306,3.006745108129614,2.8533581892985467,0.15338691883106748,0.8118094270987086
249,18/19,28,7,poisson_rolling_306,com_poisson_rolling_306,3.524869652923904,3.5858372964798377,-0.06096764355593365,0.750841783542775
250,18/19,28,8,poisson_rolling_306,com_poisson_rolling_306,2.931666157351991,2.765533294662589,0.16613286268940186,0.9169746462321768
251,18/19,28,9,poisson_rolling_306,com_poisson_rolling_306,2.909284755155845,2.7286834280017445,0.1806013271541005,1.0975759733862773
252,18/19,29,1,poisson_rolling_306,com_poisson_rolling_306,3.1248120336244085,3.062510642832791,0.06230139079161745,1.1598773641778948
253,18/19,29,2,poisson_rolling_306,com_poisson_rolling_306,2.9062824225891575,2.7334291601129053,0.1728532624762522,1.332730626654147
254,18/19,29,3,poisson_rolling_306,com_poisson_rolling_306,3.041485495848633,2.9405780729952653,0.10090742285336773,1.4336380495075147
255,18/19,29,4,poisson_rolling_306,com_poisson_rolling_306,2.935040462228386,2.7819880075963113,0.15305245463207484,1.5866905041395896
256,18/19,29,5,poisson_rolling_306,com_poisson_rolling_306,3.070415269410063,2.950241764654521,0.12017350475554167,1.7068640088951312
257,18/19,29,6,poisson_rolling_306,com_poisson_rolling_306,3.5002625321765493,3.606017819615829,-0.10575528743927975,1.6011087214558515
258,18/19,29,7,poisson_rolling_306,com_poisson_rolling_306,2.9523059826131544,2.790786503576726,0.1615194790364285,1.76262820049228
259,18/19,29,8,poisson_rolling_306,com_poisson_rolling_306,3.070415269410063,2.950241764654521,0.12017350475554167,1.8828017052478216
260,18/19,29,9,poisson_rolling_306,com_poisson_rolling_306,2.9523059826131544,2.790786503576726,0.1615194790364285,2.04432118428425
261,18/19,30,1,poisson_rolling_306,com_poisson_rolling_306,3.1212969068710876,3.0552495421809738,0.06604736469011385,2.110368548974364
262,18/19,30,2,poisson_rolling_306,com_poisson_rolling_306,3.0043622372020806,2.853144028833924,0.15121820836815658,2.2615867573425206
263,18/19,30,3,poisson_rolling_306,com_poisson_rolling_306,3.518232285510713,3.5739051984214427,-0.05567291291072962,2.205913844431791
264,18/19,30,4,poisson_rolling_306,com_poisson_rolling_306,3.6625484882924795,3.8530440126583017,-0.19049552436582218,2.0154183200659688
265,18/19,30,5,poisson_rolling_306,com_poisson_rolling_306,2.97618817026045,2.837495266770759,0.13869290348969088,2.1541112235556596
266,18/19,30,6,poisson_rolling_306,com_poisson_rolling_306,3.038641184906986,2.9317943926420185,0.1068467922649674,2.260958015820627
267,18/19,30,7,poisson_rolling_306,com_poisson_rolling_306,5.160332073897585,6.039617791085476,-0.8792857171878907,1.3816722986327363
268,18/19,30,8,poisson_rolling_306,com_poisson_rolling_306,2.9534865665416348,2.7838901328695442,0.16959643367209054,1.5512687323048269
269,18/19,30,9,poisson_rolling_306,com_poisson_rolling_306,2.9103054814168487,2.7340779704341855,0.1762275109826632,1.72749624328749
270,18/19,31,1,poisson_rolling_306,com_poisson_rolling_306,2.9221251496450265,2.7495414221591687,0.1725837274858577,1.9000799707733478
271,18/19,31,2,poisson_rolling_306,com_poisson_rolling_306,2.970440063369253,2.8342678426762546,0.13617222069299828,2.036252191466346
272,18/19,31,3,poisson_rolling_306,com_poisson_rolling_306,2.9221251496450265,2.7495414221591687,0.1725837274858577,2.2088359189522038
273,18/19,31,4,poisson_rolling_306,com_poisson_rolling_306,2.970440063369253,2.8342678426762546,0.13617222069299828,2.345008139645202
274,18/19,31,5,poisson_rolling_306,com_poisson_rolling_306,3.3359083723588725,3.3704114218214585,-0.03450304946258598,2.310505090182616
275,18/19,31,6,poisson_rolling_306,com_poisson_rolling_306,3.479932032156441,3.579395544287749,-0.09946351213130811,2.211041578051308
276,18/19,31,7,poisson_rolling_306,com_poisson_rolling_306,2.9221251496450265,2.7495414221591687,0.1725837274858577,2.3836253055371657
277,18/19,31,8,poisson_rolling_306,com_poisson_rolling_306,2.9081793021018285,2.7376706697177866,0.1705086323840419,2.5541339379212076
278,18/19,31,9,poisson_rolling_306,com_poisson_rolling_306,3.394195972401903,3.3975219774792293,-0.0033260050773264993,2.550807932843881
279,18/19,32,1,poisson_rolling_306,com_poisson_rolling_306,3.3296124262689304,3.364370072949569,-0.03475764668063874,2.5160502861632423
280,18/19,32,2,poisson_rolling_306,com_poisson_rolling_306,2.905715398770603,2.723126857275517,0.18258854149508608,2.6986388276583284
281,18/19,32,3,poisson_rolling_306,com_poisson_rolling_306,2.905715398770603,2.723126857275517,0.18258854149508608,2.8812273691534145
