line,baseline_model,candidate_model,baseline_under_probability,candidate_under_probability,under_difference_bps,baseline_push_probability,candidate_push_probability,push_difference_bps,baseline_over_probability,candidate_over_probability,over_difference_bps,baseline_under_fair_odds,candidate_under_fair_odds,baseline_over_fair_odds,candidate_over_fair_odds,maximum_model_risk_bps
54.0,poisson_rolling_306,com_poisson_rolling_306,0.24443670071103693,0.22286465970281588,-215.7204100822105,0.04396713243577518,0.0462022014263868,22.3506899061162,0.7115961668531878,0.7309331388707974,193.3697201760953,3.9111674506456695,4.2797175642180205,1.343504802438695,1.3049043036236045,215.7204100822105
54.5,poisson_rolling_306,com_poisson_rolling_306,0.2884038331468121,0.2690668611292027,-193.3697201760942,0.0,0.0,0.0,0.7115961668531878,0.7309331388707974,193.3697201760953,3.467360295072602,3.71654835457352,1.4052914371674994,1.3681141910529302,193.3697201760953
55.0,poisson_rolling_306,com_poisson_rolling_306,0.2884038331468121,0.2690668611292027,-193.3697201760942,0.04708114443003862,0.05024992799087528,31.687835608366562,0.6645150224231493,0.680683210879922,161.68188456772702,3.3041130042293076,3.5297920673815946,1.434006491072466,1.3952894045695337,193.3697201760942
55.5,poisson_rolling_306,com_poisson_rolling_306,0.3354849775768507,0.319316789120078,-161.68188456772702,0.0,0.0,0.0,0.6645150224231493,0.680683210879922,161.68188456772702,2.9807593985961014,3.131686256634484,1.5048568749484506,1.4691121861332468,161.68188456772702
56.0,poisson_rolling_306,com_poisson_rolling_306,0.3354849775768507,0.319316789120078,-161.68188456772702,0.04951542862500958,0.05348119592787922,39.65767302869641,0.6149995937981397,0.6272020149520428,122.0242115390302,2.8331658193465894,2.9641999303587685,1.5455043888808915,1.5091131429871023,161.68188456772702
56.5,poisson_rolling_306,com_poisson_rolling_306,0.38500040620186027,0.3727979850479572,-122.02421153903076,0.0,0.0,0.0,0.6149995937981397,0.6272020149520428,122.0242115390302,2.5973998569645356,2.6824179317153733,1.6260173341321398,1.594382632964695,122.02421153903076
57.0,poisson_rolling_306,com_poisson_rolling_306,0.38500040620186027,0.3727979850479572,-122.02421153903076,0.05116196850590175,0.05572193315194673,45.59964646044974,0.563837625292238,0.5714800818000961,76.42456507858108,2.4645117672852823,2.532948419038746,1.6828214168969549,1.6523376700613723,122.02421153903076
57.5,poisson_rolling_306,com_poisson_rolling_306,0.43616237470776203,0.4285199181999039,-76.42456507858108,0.0,0.0,0.0,0.563837625292238,0.5714800818000961,76.42456507858108,2.292724127499583,2.333613812400434,1.7735602505804722,1.749842263706052,76.42456507858108
58.0,poisson_rolling_306,com_poisson_rolling_306,0.43616237470776203,0.4285199181999039,-76.42456507858108,0.05195182535572133,0.0568553519233981,49.03526567676772,0.5118857999365166,0.514624729876698,27.389299401814338,2.1736129240388764,2.2009353778431047,1.852069689688314,1.8326842713185887,76.42456507858108
58.5,poisson_rolling_306,com_poisson_rolling_306,0.4881142000634834,0.485375270123302,-27.389299401813783,0.0,0.0,0.0,0.5118857999365166,0.514624729876698,27.389299401814338,2.048700898006945,2.0602615369051778,1.95356073585948,1.9431635169176495,27.389299401814338
59.0,poisson_rolling_306,com_poisson_rolling_306,0.4881142000634834,0.485375270123302,-27.389299401813783,0.05185974280274877,0.05683185884284014,49.72116040091366,0.4600260571337679,0.457792871033858,-22.331860999098563,1.9424557963565443,1.9431730440604498,2.0610577216097736,2.0602508270326556,49.72116040091366
59.5,poisson_rolling_306,com_poisson_rolling_306,0.5399739428662321,0.5422071289661421,22.331860999099675,0.0,0.0,0.0,0.4600260571337679,0.457792871033858,-22.331860999098563,1.851941215333293,1.844313633254432,2.1737899070991467,2.1843939984072858,22.331860999099675
60.0,poisson_rolling_306,com_poisson_rolling_306,0.5399739428662321,0.5422071289661421,22.331860999099675,0.05090502640474349,0.055672112805390035,47.67086400646547,0.40912103072902434,0.4021207582284679,-70.0027250055646,1.7576680988667188,1.7416367966153725,2.3198391241438685,2.3483689112564616,70.0027250055646
60.5,poisson_rolling_306,com_poisson_rolling_306,0.5908789692709756,0.5978792417715322,70.00272500556571,0.0,0.0,0.0,0.40912103072902434,0.4021207582284679,-70.0027250055646,1.6923939622251178,1.6725785578990386,2.4442644716114246,2.486815165686728,70.00272500556571
61.0,poisson_rolling_306,com_poisson_rolling_306,0.5908789692709756,0.5978792417715322,70.00272500556571,0.04914874026927675,0.05346307347050099,43.143332012242425,0.3599722904597476,0.3486576847579669,-113.14605701780722,1.6092149309424233,1.5831573675728978,2.641456814679596,2.7148029941934917,113.14605701780722
61.5,poisson_rolling_306,com_poisson_rolling_306,0.6400277095402523,0.6513423152420331,113.14605701780778,0.0,0.0,0.0,0.3599722904597476,0.3486576847579669,-113.14605701780722,1.5624323526841122,1.5352910084283542,2.777991602417022,2.868142719109104,113.14605701780778
62.0,poisson_rolling_306,com_poisson_rolling_306,0.6400277095402523,0.6513423152420331,113.14605701780778,0.04668767642488458,0.05034783974635988,36.60163321475299,0.313284614034863,0.298309845011607,-149.74769023256007,1.4894860165662251,1.457992422771976,3.042959280052702,3.1834422367679145,149.74769023256007
